Time,Bid,Ask,Last,Volume,Type
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:49:51.836,43.95,43.96,43.94,100.00,Sell
2023.04.24 13:49:53.872,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:49:56.092,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:49:59.060,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:49:59.060,43.94,43.95,43.95,101.00,Buy
2023.04.24 13:49:59.060,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:49:59.060,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:49:59.060,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:49:59.061,43.94,43.95,43.94,100.00,Sell
2023.04.24 13:50:02.376,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:50:02.376,43.95,43.96,43.95,284.00,Sell
2023.04.24 13:50:02.376,43.95,43.96,43.95,284.00,Sell
2023.04.24 13:50:02.376,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:02.376,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:02.394,43.95,43.96,43.95,700.00,Sell
2023.04.24 13:50:02.394,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:50:05.290,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:05.302,43.95,43.96,43.96,328.00,Buy
2023.04.24 13:50:05.302,43.95,43.96,43.96,100.00,Buy
2023.04.24 13:50:05.302,43.95,43.96,43.95,100.00,Sell
2023.04.24 13:50:05.302,43.95,43.96,43.95,200.00,Sell
2023.04.24 13:50:05.424,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.424,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.424,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.424,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.424,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.621,43.95,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,200.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
2023.04.24 13:50:05.970,43.94,43.95,43.95,100.00,Buy
