,Capital Gains,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,0.0,125.21163940429688,219.90122985839844,403.80615234375,0.0,0.0,0.0,125.74466581916747,221.26406585633154,404.32646266365117,124.7871928626882,219.7214073086081,402.5438690391226,125.32021927755879,221.26406585633154,403.6134252138397,0.0,0.0,0.0,56575900,1564200,43088600
2021-05-27,0.0,123.66189575195312,222.27671813964844,404.0180969238281,0.0,0.0,0.0,125.99141484754294,222.48493217863987,405.3960045956306,123.46448194284379,219.94851317695208,403.729006260089,124.80691693117873,220.5258312957452,404.86604915448453,0.0,0.0,0.0,94625600,5242900,56707700
2021-05-28,0.0,123.00057983398438,222.58126831054688,404.7408447265625,0.0,1.29,0.0,124.17521260486863,223.07613004381167,405.90676452867075,122.94135718363924,221.2108909082856,404.49995050429027,123.94817989378586,222.80966938459608,405.6369641759672,0.0,0.0,0.0,71311100,2853600,58520200
2021-06-01,0.0,122.67481994628906,221.9626922607422,404.3842468261719,0.0,0.0,0.0,123.73099971129089,224.57972788645492,407.32314400020374,122.33921494192147,221.4868676015217,403.9313646007085,123.46449029787279,224.57020209982014,407.17861337633826,0.0,0.0,0.0,67637100,2574300,54216600
2021-06-02,0.0,123.44475555419922,222.47657775878906,405.0202331542969,0.0,0.0,0.0,123.62243102282135,222.99998779108824,405.8874758199959,122.44780587051613,221.55347675301138,404.01813443051793,122.67483103378841,222.65739345367572,405.05878446091333,0.0,0.0,0.0,59278900,3172000,49097100
2021-06-03,0.0,121.94439697265625,221.2108612060547,403.51702880859375,0.0,0.0,0.0,123.2374750132465,221.50587014478816,404.6925936308974,121.53968878937968,219.02206506694705,401.11773208844454,123.06967248738552,221.3250689882529,402.6305546576277,0.0,0.0,0.0,76229200,3249400,58138800
2021-06-04,0.0,124.2640380859375,222.09591674804688,407.20758056640625,0.0,0.0,0.0,124.53055505598374,222.4956077087667,407.51593221424486,122.25038527243784,220.84925849701256,403.5845222193811,122.46754501666653,222.15301338229028,405.42495752200153,0.0,0.0,0.0,75169300,1615200,55938800
2021-06-07,0.0,124.27391815185547,220.48764038085938,406.8124694824219,0.0,0.0,0.0,124.6884917613777,222.75257048218717,407.38097623486726,123.21773822425028,219.98326738668385,405.8488927346781,124.54042760630384,222.685948057552,407.19789430031364,0.0,0.0,0.0,71057600,1877000,51555000
2021-06-08,0.0,125.10305786132812,221.39169311523438,406.8992004394531,0.0,0.0,0.0,126.8008515359584,222.6668996953244,407.7953197851096,124.57990440487879,220.15454611799086,405.01059818918105,124.96486666644925,220.3068134914089,407.69895622615064,0.0,0.0,0.0,74403800,2106200,47134300
2021-06-09,0.0,125.48802947998047,220.27825927734375,406.2921447753906,0.0,0.0,0.0,126.10002448211725,222.99046552481178,407.8435186875557,124.88590742988701,220.25922222592212,406.0608957573406,125.56699803461537,221.71524445784246,407.7664160775192,0.0,0.0,0.0,56877900,1982200,48436300
2021-06-10,0.0,124.48119354248047,223.24742126464844,408.18072509765625,0.0,0.0,0.0,126.53433055974394,223.54243024471896,409.16359218360054,124.31339102984919,220.71603046627393,406.19575938333685,125.37943628074882,220.8302382644751,407.55440610341475,0.0,0.0,0.0,71186400,2534000,51020100
2021-06-11,0.0,125.70516204833984,225.47427368164062,408.855224609375,0.0,0.0,0.0,125.79400353580066,226.01672078160448,408.9708491076711,124.47130688977575,223.36162548251212,407.41950474548696,124.89575336555596,223.637597404956,408.74924528794594,0.0,0.0,0.0,53522400,2654300,45570800
2021-06-14,0.0,128.7947235107422,225.52188110351562,409.7707214355469,0.0,0.0,0.0,128.8539461442755,226.27369229581336,409.8767007795297,125.42877079318288,223.45680355319624,407.6893918052019,126.16908383576423,225.71220808805316,408.9709361420824,0.0,0.0,0.0,96906500,1836800,42358500
2021-06-15,0.0,127.96558380126953,224.92233276367188,409.01910400390625,0.0,0.0,0.0,128.91319117685984,226.31173270194552,409.96339047887614,127.7188127730303,224.26569237980937,408.11333942985226,128.26171204749826,226.04527204197478,409.92486857796024,0.0,0.0,0.0,62746300,1948300,51508500
2021-06-16,0.0,128.468994140625,224.18955993652344,406.7353515625,0.0,0.0,0.0,129.199441822712,225.8073609585014,409.39483269607814,126.8008346043744,222.47658816930448,404.6251456179324,128.68615385525334,225.74075305364627,409.1635836952549,0.0,0.0,0.0,91815000,2951700,80386100
2021-06-17,0.0,130.0878448486328,222.5717315673828,406.6004638671875,0.0,0.0,0.0,130.83803862290074,224.8461726974212,407.6122076462262,127.9754848610855,222.00073620812847,404.0469914771154,128.12355655629167,223.71370776487635,406.31140261775573,0.0,0.0,0.0,96721700,1895600,90949700
2021-06-18,0.0,128.77499389648438,218.51771545410156,401.11529541015625,0.0,0.0,1.376,129.81142011657104,221.62961284256133,403.9284514395835,128.5578341969958,217.75640760361807,400.9026138046007,129.02176491302075,220.2782725306317,403.21308126736676,0.0,0.0,0.0,108953300,4408200,118676300
2021-06-21,0.0,130.5912322998047,221.63914489746094,406.8575744628906,0.0,0.0,0.0,130.69981215564886,221.95319094969943,407.050932074087,127.54114597887579,218.3749943453463,402.0916073194174,128.61706405660797,219.47891116151467,402.93265687388566,0.0,0.0,0.0,79663300,2193000,72822000
2021-06-22,0.0,132.24954223632812,222.5717315673828,409.03277587890625,0.0,0.0,0.0,132.3482566849961,223.5043437678841,409.893179024251,129.92002282784009,221.1918285360207,406.10358759568544,130.42344542965242,222.20058894017205,406.84798795789027,0.0,0.0,0.0,74783600,1758300,57700300
2021-06-23,0.0,131.97317504882812,221.9626922607422,408.539794921875,0.0,0.0,0.0,132.585177589954,223.11417980428672,409.9415346603845,131.50924419775242,221.448793497015,408.45279282794564,132.04227818319393,222.01978889648606,409.11016165023574,0.0,0.0,0.0,60214200,1701500,49445400
2021-06-24,0.0,131.68692016601562,222.04835510253906,410.9565734863281,0.0,0.0,0.0,132.90102963854972,223.78987523810463,411.39158390875616,131.21310885726623,221.4868854444709,410.4925328668388,132.71348121155032,222.78112920265534,410.7535686225284,0.0,0.0,0.0,68711000,1839800,45110300
2021-06-25,0.0,131.39077758789062,221.18235778808594,412.4163513183594,0.0,0.0,0.0,132.1607020538173,222.12449594713544,412.8803919793182,131.09464931752436,221.10622409150454,411.39162067319796,131.73626308026957,221.48689257441146,411.7299818112574,0.0,0.0,0.0,70783700,3000100,58129500
2021-06-28,0.0,133.03919982910156,219.91665649414062,413.2477111816406,0.0,0.0,0.0,133.50313058208692,221.4963979841415,413.4217153482106,131.6276767316801,218.88887339899608,411.720292104695,131.68689937049376,221.4202642895733,412.9577042373574,0.0,0.0,0.0,62111300,2901700,53159600
2021-06-29,0.0,134.56918334960938,219.23146057128906,413.4700927734375,0.0,0.0,0.0,134.72712042768325,220.50668176219594,414.3014657286532,132.6147609589984,218.9269403240247,412.9190500460593,133.05894581208605,220.33537732478345,413.64409694979884,0.0,0.0,0.0,64556100,1932100,35970500
2021-06-30,0.0,135.19105529785156,219.82150268554688,413.818115234375,0.0,0.0,0.0,135.63524016446573,221.02057571590103,414.5141614657845,134.11512209970357,219.45035999607884,412.9673887846262,134.41125036468273,219.75488025668506,412.9963894816751,0.0,0.0,0.0,63261400,2450700,64827900
2021-07-01,0.0,135.4970703125,221.0395965576172,416.10919189453125,0.0,0.0,0.0,135.5562929624769,221.1633010976882,416.27354881953545,134.00656333342724,219.5930854930352,414.5334187697199,134.83572561823863,220.221177543303,414.6010968860293,0.0,0.0,0.0,52485800,2210500,53441000
2021-07-02,0.0,138.1522979736328,222.3338623046875,419.2898254394531,0.0,0.0,0.0,138.19177471068429,222.79064996792894,419.6571872870325,135.97083547426257,221.20139715286518,416.19627993563967,136.11889206534076,221.81045221085978,417.3080422119153,0.0,0.0,0.0,78852600,1851500,57697700
2021-07-06,0.0,140.18569946289062,221.49636840820312,418.5260314941406,0.0,0.0,0.0,141.30109434434434,222.59075926432726,419.5701154666195,138.26088832420487,219.83098217957004,415.70319898058546,138.26088832420487,222.3623727321361,419.3477571478692,0.0,0.0,0.0,108181800,1762700,68710400
2021-07-07,0.0,142.70278930664062,223.2854766845703,420.0051574707031,0.0,0.0,0.0,143.0186484612328,223.62807100846865,420.2951939303166,140.81745461507043,220.51617377647696,417.153324049023,141.68607858648258,220.70650072952807,419.23178591620126,0.0,0.0,0.0,104911600,2069400,63549500
2021-07-08,0.0,141.38992309570312,221.58201599121094,416.58294677734375,0.0,0.0,0.0,142.19932417517825,222.52415401074316,417.3659950446019,138.85310988716117,220.725537443284,413.2960439986623,139.75135997699792,221.68669799338122,414.51413219316737,0.0,0.0,0.0,105575500,1932600,97595200
2021-07-09,0.0,143.23577880859375,224.2847137451172,421.0298767089844,0.0,0.0,0.0,143.7687976120209,224.80812379627136,421.3392371233408,140.80754521991577,221.7913970736406,416.3799117701726,140.90625965766935,222.75257221876464,418.139365936813,0.0,0.0,0.0,99890800,2560500,76238600
2021-07-12,0.0,142.63368225097656,224.2180938720703,422.5379943847656,0.0,0.0,0.0,144.43018291794587,224.81763758238984,422.79903015552657,142.140140097859,223.16176256013478,420.4982098921781,144.32160304179155,223.2474075127473,420.94289707263476,0.0,0.0,0.0,76299700,2158600,52889600
2021-07-13,0.0,143.75894165039062,224.75100708007812,421.09759521484375,0.0,0.0,0.0,145.55544211607412,225.98815403928137,423.27273605186707,141.77490783937174,223.82790612351218,420.8269122018814,142.16973549294352,224.26567117837445,421.7259633339811,0.0,0.0,0.0,100827100,1884600,52911300
