,Close,Close,Close,Dividends,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume
,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD,AAPL,IBM,MCD
Date,,,,,,,,,,,,,,,,,,,,,
2021-09-02,151.89273071289062,121.2538833618164,229.52357482910156,0.0,0.0,0.0,152.95050058477148,121.28852268806158,229.6001259052275,150.65702670421342,120.40516457858433,228.0978530130523,152.11021582516,121.00274133526075,228.8824759922497,0.0,0.0,0.0,71115500,2840413,2140200
2021-09-03,152.53530883789062,120.88150024414062,228.5188751220703,0.0,0.0,0.0,152.86153651268927,121.65227369818585,229.31306150530358,151.33914069696232,120.63901111705917,227.26536768449034,152.0014762484828,120.96811238974242,228.10741491568916,0.0,0.0,0.0,57808700,2009575,1339300
2021-09-07,154.89796447753906,119.56510925292969,226.0023193359375,0.0,0.0,0.0,155.46143763682005,121.06334991848279,228.3179347020284,152.62426618499714,119.30530049067328,225.77266610105133,153.19763462984872,120.94211227995592,228.3179347020284,0.0,0.0,0.0,82278300,3436110,1820000
2021-09-08,153.3360137939453,120.09339904785156,228.32749938964844,0.0,0.0,0.0,155.24393322139233,120.45713962528684,229.1312784159366,152.2189327313681,119.16673485209775,225.82051361409881,155.18462185245457,119.63439341019648,226.58600980071233,0.0,0.0,0.0,74420200,3122728,2718400
2021-09-09,152.3079376220703,119.28799438476562,228.31793212890625,0.0,0.0,0.0,154.32459988859387,120.34456303907,231.0162882554386,152.18929978219683,119.13210358067283,227.5141677168009,153.71169553897658,119.38325945142704,228.13612514508182,0.0,0.0,0.0,57305700,3669682,2992200
2021-09-10,147.26625061035156,118.66443634033203,228.8633575439453,0.0,0.0,0.0,153.70179115314426,120.69962809852922,230.91106618443575,146.99933434178558,118.6471166769796,228.72939679743558,153.22728507457518,120.22330279994614,229.95419953775857,0.0,0.0,0.0,140893200,4157955,2035200
2021-09-13,147.83961486816406,119.64306640625,230.80580139160156,0.0,0.0,0.0,149.6882230412757,120.37053377658448,231.37034918727608,147.0487613699913,119.08879567940659,229.4948842076508,148.90726482805593,119.85958294444984,230.44218740764978,0.0,0.0,0.0,102404300,4334729,2294800
2021-09-14,146.4259796142578,117.97161865234375,230.72927856445312,0.0,0.0,0.0,149.3422531865518,120.00681058846948,231.8009646265422,145.22982656284486,117.20949810798176,229.1695811271697,148.63048645997645,119.85958652582438,231.3033898403033,0.0,0.0,0.0,109296300,4659198,2013800
2021-09-15,147.32554626464844,118.82034301757812,230.585693359375,0.0,0.0,0.0,147.7308607247272,119.33996063272916,230.86319283068613,144.69596500049914,117.49529874736128,227.9064641430714,146.86092043661174,117.97162410962197,230.0976966830816,0.0,0.0,0.0,83281300,3403579,2507200
2021-09-16,147.0883026123047,118.1534652709961,232.7195281982422,0.0,0.0,0.0,147.26625182090353,119.46984254932495,233.0831275715484,145.53626633003435,117.52991595664729,229.60013379161944,146.7423145646967,118.8895993022736,229.92546492586067,0.0,0.0,0.0,68034100,2765624,3410700
2021-09-17,144.3895263671875,117.1142349243164,232.0305938720703,0.0,0.0,0.0,147.11797022237474,117.71179785769567,234.07828787189575,144.09295441541377,116.95834413385005,231.44690464498507,147.11797022237474,117.56457381005804,233.3223550594508,0.0,0.0,0.0,129868800,5890340,4756600
2021-09-20,141.3052215576172,116.31749725341797,228.77720642089844,0.0,0.0,0.0,143.183485541913,117.07095112056008,231.5234231855973,139.65432287821943,114.99245983884097,226.43288643200833,142.15538648492807,115.96242335848048,229.53313912709348,0.0,0.0,0.0,123478900,4990152,4549900
2021-09-21,141.7895965576172,115.156982421875,230.12643432617188,0.0,0.0,0.0,142.94622864544314,117.47796242922615,231.89664350739312,141.14703658373668,115.13100292705587,229.07387514804682,142.2838781019178,117.01030387736901,229.64800099077445,0.0,0.0,0.0,75834000,4261927,2008300
2021-09-22,144.18194580078125,116.59461212158203,232.64300537109375,0.0,0.0,0.0,144.7552991708746,117.23548117103162,235.2552473731085,142.05652591374468,115.59000938647675,231.05460314543555,142.79794829855993,115.80651901368867,231.37037090841292,0.0,0.0,0.0,76404300,3767901,3361900
