,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM,AAPL,IBM
Date,,,,,,,,,,,,,,
2021-05-07,128.52825927734375,124.53997039794922,0.22,1.567878,129.56468579093183,125.12217750959854,127.80767686056933,123.77796985905027,129.15999265610654,124.93381598332289,0.0,0.0,78973300,7325661
2021-05-10,125.21163177490234,125.14787292480469,0.0,0.0,127.86688320517116,127.0400429002905,125.17214750240791,124.83108552304749,127.73857249856046,124.83108552304749,0.0,0.0,88071200,7304636
2021-05-11,124.28378295898438,123.47832489013672,0.0,0.0,124.63912636467664,124.30882935908652,121.18433145001849,122.3481692160017,121.90490627436637,124.13759033810075,0.0,0.0,126142800,7454214
2021-05-12,121.18433380126953,120.978271484375,0.0,0.0,123.0301841168799,123.41837602872934,120.67105328899497,120.8412775491412,121.80620171772101,123.15296992298262,0.0,0.0,112172300,6233742
2021-05-13,123.35591888427734,123.43553161621094,0.0,0.0,124.52067859066177,124.0605383593496,122.65508997640653,120.96116795046736,122.9709566325012,121.10671634282299,0.0,0.0,105861300,4807207
2021-05-14,125.80388641357422,123.8721694946289,0.0,0.0,126.23820589953583,124.7369190274399,124.22455309760745,123.25571722341579,124.61938830931297,124.24032450424413,0.0,0.0,81918000,2873780
2021-05-17,124.63912963867188,124.24031066894531,0.0,0.0,125.29060888307373,124.83107223860924,123.5533384288576,123.57249086580691,125.18202900900675,123.66667163280569,0.0,0.0,74244600,4471755
2021-05-18,123.23746490478516,123.21289825439453,0.0,0.0,125.34982455958105,124.40298943763706,123.16836930975371,122.63069114601062,124.92537803842926,123.95776259106373,0.0,0.0,63342900,4000009
2021-05-19,123.07952880859375,122.5964584350586,0.0,0.0,123.30655395270503,122.605012869669,121.27316295186905,120.65292095508177,121.56929121819772,121.85158035809563,0.0,0.0,92612000,4498532
2021-05-20,125.66568756103516,123.18722534179688,0.0,0.0,126.07039569935559,124.06909739758336,123.48423237459787,121.71459165890364,123.61255814082377,122.5365280089121,0.0,0.0,76857100,4301675
2021-05-21,123.80998229980469,123.92354583740234,0.0,0.0,126.34678861370502,124.74548225696549,123.59282255193801,123.5297138294917,126.16911314098277,123.5297138294917,0.0,0.0,79295400,4219041
2021-05-24,125.4583969116211,123.90641784667969,0.0,0.0,126.2875515331804,124.48005696188993,124.31338318671632,123.4440820473346,124.38247877760838,124.19752828718003,0.0,0.0,63092900,3449290
2021-05-25,125.260986328125,123.11017608642578,0.0,0.0,126.66265161380612,124.14615103452917,124.68847568544221,122.60502709839515,126.16910198357405,124.07766088877335,0.0,0.0,72009500,4118311
2021-05-26,125.21163177490234,122.7591323852539,0.0,0.0,125.74465815729455,123.28140386204684,124.78718525915602,122.46803562713248,125.32021164154824,122.86188125974058,0.0,0.0,56575900,3225655
2021-05-27,123.66191864013672,123.1358642578125,0.0,0.0,125.99143816688976,123.94923255068858,123.4645047944887,122.97319333228374,124.80694003129064,123.1358642578125,0.0,0.0,94625600,5889294
2021-05-28,123.00056457519531,123.06735229492188,0.0,0.0,124.17519720036097,123.57250123937014,122.94134193219702,122.8533137752851,123.94816451744263,123.46976602960002,0.0,0.0,71311100,2651192
2021-06-01,122.67481994628906,123.45265197753906,0.0,0.0,123.73099971129089,124.85678193226889,122.33921494192147,123.07592885203307,123.46449029787279,124.14614885421868,0.0,0.0,67637100,2528705
2021-06-02,123.44474792480469,124.76258850097656,0.0,0.0,123.62242338244575,124.78827913519527,122.44779830273721,123.38413565760186,122.6748234519784,123.82079444793422,0.0,0.0,59278900,2915097
2021-06-03,121.94438171386719,124.61703491210938,0.0,0.0,123.23745959265577,124.89957721577012,121.53967358123137,123.3242084600668,123.06965708779177,124.06908650370404,0.0,0.0,76229200,4320608
2021-06-04,124.2640380859375,126.21810913085938,0.0,0.0,124.53055505598374,126.32941244550958,122.25038527243784,124.79684301133736,122.46754501666653,125.00232710494015,0.0,0.0,75169300,3261323
2021-06-07,124.27391052246094,126.73180389404297,0.0,0.0,124.68848410653177,127.34825613283317,123.2177306596965,126.00404834818917,124.54041996054781,126.32940383473027,0.0,0.0,71057600,3621984
2021-06-08,125.10305786132812,127.63080596923828,0.0,0.0,126.8008515359584,128.59829072074484,124.57990440487879,126.81743770281612,124.96486666644925,126.81743770281612,0.0,0.0,74403800,5313785
2021-06-09,125.48802185058594,129.0006866455078,0.0,0.0,126.10001681551479,129.3431646757154,124.88589983710018,127.41674966995268,125.56699040041974,127.59655678516582,0.0,0.0,56877900,5547252
2021-06-10,124.481201171875,128.88937377929688,0.0,0.0,126.53433831497429,130.85858814390954,124.31339864895918,128.2215539686142,125.37944396519623,129.68561942547777,0.0,0.0,71186400,4977391
2021-06-11,125.7051773071289,129.52294921875,0.0,0.0,125.7940188053738,130.01097559540455,124.47132199879262,128.74382610209892,124.89576852609451,128.79519370352824,0.0,0.0,53522400,3596462
2021-06-14,128.7947235107422,128.4527587890625,0.0,0.0,128.8539461442755,129.30892667137988,125.42877079318288,127.27978979561296,126.16908383576423,129.03495240242898,0.0,0.0,96906500,3498661
2021-06-15,127.96559143066406,127.87906646728516,0.0,0.0,128.91319886275136,128.34997027262867,127.71882038771217,127.22836923864206,128.26171969454816,128.29860267529014,0.0,0.0,62746300,2628912
2021-06-16,128.468994140625,126.56913757324219,0.0,0.0,129.199441822712,128.22156470458873,126.8008346043744,126.04686608804568,128.68615385525334,128.22156470458873,0.0,0.0,91815000,4057329
2021-06-17,130.08782958984375,124.65984344482422,0.0,0.0,130.83802327611693,126.76603799695128,127.9754698500679,124.38585558557641,128.12354152790584,126.3293929063505,0.0,0.0,96721700,4568300
2021-06-18,128.7750244140625,122.53651428222656,0.0,0.0,129.81145087976532,123.87215386875458,128.5578646631106,122.46802414914205,129.02179548907958,123.70091487081328,0.0,0.0,108953300,9577699
2021-06-21,130.59124755859375,125.55883026123047,0.0,0.0,130.6998274271248,125.91843080291719,127.54116088128086,123.3413323056489,128.61707908472752,123.38413180770335,0.0,0.0,79663300,4482633
2021-06-22,132.24952697753906,125.31056213378906,0.0,0.0,132.34824141481747,125.69583969115313,129.92000783782808,124.44581257333098,130.42343038155613,125.44754242161687,0.0,0.0,74783600,2549102
2021-06-23,131.97314453125,123.81222534179688,0.0,0.0,132.58514693085596,125.43040731888041,131.50921378745403,123.7779802732709,132.04224764963635,125.37047161634455,0.0,0.0,60214200,3349920
2021-06-24,131.6868896484375,124.52287292480469,0.0,0.0,132.9009988396097,125.16501586317554,131.21307844949078,123.88074365166628,132.71345045607342,124.83109224286463,0.0,0.0,68711000,3775746
2021-06-25,131.39077758789062,125.7215347290039,0.0,0.0,132.1607020538173,125.7985793109881,131.09464931752436,124.10335253314675,131.73626308026957,124.47150756742073,0.0,0.0,70783700,3759533
2021-06-28,133.03921508789062,124.39445495605469,0.0,0.0,133.503145894086,126.11537244934763,131.62769182857602,124.06911308110178,131.68691447418217,125.86708882510287,0.0,0.0,62111300,4067789
2021-06-29,134.56919860839844,124.61703491210938,0.0,0.0,134.7271357043808,125.63588715994929,132.61477599617567,124.23175740633403,133.05896089962943,124.36873767582017,0.0,0.0,64556100,2540211
2021-06-30,135.19105529785156,125.5074691772461,0.0,0.0,135.63524016446573,125.7985659333474,134.11512209970357,123.89785525346342,134.41125036468273,124.25744214859299,0.0,0.0,63261400,3394375
2021-07-01,135.49705505371094,125.7215347290039,0.0,0.0,135.55627769701857,126.2866057665401,134.00654824248926,125.49035998735314,134.83571043392584,125.82426994847131,0.0,0.0,52485800,2809661
2021-07-02,138.15232849121094,119.88237762451172,0.0,0.0,138.19180523698273,125.81571218575475,135.9708655099598,119.4029192825437,136.1189221337434,125.78145344827216,0.0,0.0,78852600,17584515
