Local time,Ask,Bid,AskVolume,BidVolume
19.08.2024 00:08:00.863 GMT+0200,1.2949000000000002,1.29479,4.5,0.9
19.08.2024 00:08:01.067 GMT+0200,1.29492,1.29478,7.65,0.9
19.08.2024 00:08:28.153 GMT+0200,1.29491,1.29478,4.5,0.9
19.08.2024 00:08:32.668 GMT+0200,1.29489,1.29478,2.7,0.9
19.08.2024 00:08:33.071 GMT+0200,1.2949000000000002,1.29479,7.2,0.9
19.08.2024 00:08:33.424 GMT+0200,1.29489,1.29479,4.5,0.9
19.08.2024 00:08:43.074 GMT+0200,1.2949000000000002,1.29479,7.2,0.9
19.08.2024 00:08:46.542 GMT+0200,1.29489,1.29478,2.7,0.9
19.08.2024 00:08:46.696 GMT+0200,1.29482,1.29473,0.9,0.9
19.08.2024 00:08:46.749 GMT+0200,1.29482,1.2947,2.7,4.5
19.08.2024 00:08:46.953 GMT+0200,1.29481,1.2947,3.15,0.9
19.08.2024 00:08:47.311 GMT+0200,1.29483,1.29468,0.45,0.9
19.08.2024 00:08:47.464 GMT+0200,1.29484,1.29468,0.9,0.9
19.08.2024 00:08:51.093 GMT+0200,1.29484,1.2947,0.45,0.9
19.08.2024 00:08:51.195 GMT+0200,1.2948600000000001,1.2946900000000001,1.35,0.9
19.08.2024 00:09:00.698 GMT+0200,1.2948600000000001,1.29471,2.7,0.9
19.08.2024 00:09:03.467 GMT+0200,1.2948700000000002,1.29471,3.6,0.9
19.08.2024 00:09:06.583 GMT+0200,1.2948600000000001,1.29471,0.9,0.9
19.08.2024 00:09:13.618 GMT+0200,1.2948600000000001,1.29472,2.7,0.9
19.08.2024 00:09:13.672 GMT+0200,1.29489,1.2947700000000002,2.7,0.9
19.08.2024 00:09:15.694 GMT+0200,1.2949000000000002,1.29478,2.7,0.9
19.08.2024 00:09:24.139 GMT+0200,1.2949000000000002,1.29479,2.7,0.9
19.08.2024 00:09:55.836 GMT+0200,1.2949000000000002,1.2948000000000002,1.8,0.9
19.08.2024 00:09:55.888 GMT+0200,1.29492,1.2948000000000002,4.5,0.9
19.08.2024 00:09:56.092 GMT+0200,1.29496,1.2948000000000002,0.45,0.9
19.08.2024 00:09:56.347 GMT+0200,1.29496,1.29479,2.7,0.9
19.08.2024 00:10:00.120 GMT+0200,1.29492,1.2948000000000002,0.9,0.9
19.08.2024 00:10:00.274 GMT+0200,1.29494,1.29479,0.9,0.9
19.08.2024 00:10:00.480 GMT+0200,1.2949700000000002,1.29479,2.7,0.9
19.08.2024 00:10:00.884 GMT+0200,1.29499,1.29479,3.15,0.9
19.08.2024 00:10:02.965 GMT+0200,1.29498,1.29481,3.15,0.9
19.08.2024 00:10:03.426 GMT+0200,1.29498,1.29483,2.25,0.9
19.08.2024 00:10:03.581 GMT+0200,1.29499,1.29481,1.8,0.9
19.08.2024 00:10:03.685 GMT+0200,1.29499,1.29482,0.45,0.9
19.08.2024 00:10:03.788 GMT+0200,1.29499,1.29481,0.45,0.9
19.08.2024 00:10:04.605 GMT+0200,1.29499,1.29482,3.15,0.9
19.08.2024 00:10:05.917 GMT+0200,1.29499,1.29481,1.8,0.9
19.08.2024 00:10:09.748 GMT+0200,1.29499,1.29482,3.15,0.9
19.08.2024 00:10:09.851 GMT+0200,1.29499,1.29481,2.7,0.9
19.08.2024 00:10:10.609 GMT+0200,1.2950000000000002,1.29481,3.15,0.9
19.08.2024 00:10:13.832 GMT+0200,1.2949700000000002,1.29481,0.9,0.9
19.08.2024 00:10:14.689 GMT+0200,1.29498,1.29482,2.7,0.9
