,Capital Gains,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,,,,
2021-09-08,0.0,153.33604431152344,435.9078369140625,0.0,0.0,155.24396411869262,436.6425604958782,152.21896302662006,433.9260244900153,155.18465273795047,435.88851295220536,0.0,0.0,74420200,56181900
2021-09-09,0.0,152.30792236328125,434.0420837402344,0.0,0.0,154.3245844277679,437.5126380032065,152.18928453529333,433.7907247093128,153.7116801395537,435.7048591324611,0.0,0.0,57305700,57970400
2021-09-10,0.0,147.26626586914062,430.6198425292969,0.0,0.0,153.70180707874297,436.46854218903405,146.9993495729185,430.4941630172236,153.2273009510086,436.03353176520295,0.0,0.0,140893200,89948200
2021-09-13,0.0,147.83963012695312,431.7219543457031,0.0,0.0,149.6882384908629,433.98412685150333,147.04877654715497,429.33413181379115,148.90728019703906,433.7134438297668,0.0,0.0,102404300,83738600
2021-09-14,0.0,146.4259490966797,429.3921203613281,0.0,0.0,149.34222206117437,433.4233645910871,145.22979629456466,428.473715823394,148.63045548294292,433.210682987683,0.0,0.0,109296300,78197100
2021-09-15,0.0,147.3255615234375,432.9786682128906,0.0,0.0,147.73087602549546,433.4910334962537,144.69597998693743,428.6863883098281,146.8609356472786,429.82712165735586,0.0,0.0,83281300,78792200
2021-09-16,0.0,147.08831787109375,432.2923278808594,0.0,0.0,147.26626709815287,433.44270853613034,145.53628142781676,429.2471071684989,146.74232978759332,432.43733136663,0.0,0.0,68034100,77786700
2021-09-17,0.0,144.38951110839844,428.0813293457031,0.0,1.428,147.1179546752493,431.9315409985406,144.0929391879658,427.7127906106745,147.1179546752493,431.49513691502017,0.0,0.0,129868800,118425000
2021-09-20,0.0,141.3052215576172,420.94342041015625,0.0,0.0,143.183485541913,423.3873720596072,139.65432287821943,415.91969762449287,142.15538648492807,421.7580709599732,0.0,0.0,123478900,166445500
2021-09-21,0.0,141.78961181640625,420.5457763671875,0.0,0.0,142.946244028704,424.6966316798323,141.14705177337618,420.0026760157573,142.2838934138993,423.35826667211165,0.0,0.0,75834000,92526100
2021-09-22,0.0,144.1819305419922,424.6481018066406,0.0,0.0,144.75528385140748,426.7526377629063,142.056510879889,420.6621301801336,142.79793318623945,422.89271868590544,0.0,0.0,76404300,102350100
2021-09-23,0.0,145.1507110595703,429.8076171875,0.0,0.0,145.39785181631188,431.466041488128,143.97431864399653,426.33565201845323,144.97276187089355,426.5781085960801,0.0,0.0,64838200,76396000
2021-09-24,0.0,145.23968505859375,430.51556396484375,0.0,0.0,145.78339776628593,431.2526413682985,143.89523867424367,427.8970213133319,143.9941010153788,428.1200920003636,0.0,0.0,53477900,62094800
2021-09-27,0.0,143.70742797851562,429.28387451171875,0.0,0.0,144.29069173227708,430.65130338035044,142.17516708144348,428.5661830127479,143.8062903325165,429.44872838813706,0.0,0.0,74150700,61371100
2021-09-28,0.0,140.28700256347656,420.633056640625,0.0,0.0,143.09451833581463,426.7623658523174,140.06951746012732,419.8765933237658,141.61167358622072,426.42292073392235,0.0,0.0,108972300,130436300
2021-09-29,0.0,141.19647216796875,421.3410339355469,0.0,0.0,142.79793959458667,423.85288041784383,140.40561865551538,420.75913225544645,140.84058884157855,422.0586959028463,0.0,0.0,74602000,82329200
2021-09-30,0.0,139.88168334960938,416.1912841796875,0.0,0.0,142.7287500002306,423.5910341935064,139.66419825356044,415.8421313116534,142.0169833375753,422.8636644482486,0.0,0.0,89056700,140506000
2021-10-01,0.0,141.01852416992188,421.13739013671875,0.0,0.0,141.2854404380687,422.8733876125016,137.5190173340216,414.33892746210046,140.27710182395117,417.9757763210927,0.0,0.0,94639600,129240100
2021-10-04,0.0,137.54867553710938,415.7063293457031,0.0,0.0,140.58357163591538,420.86578239468344,136.6886304270201,413.49509712889306,140.1387061527746,419.93475750116977,0.0,0.0,98322000,128570000
2021-10-05,0.0,139.49612426757812,420.03173828125,0.0,0.0,140.61320527440947,422.34960753731633,137.7661390332761,416.43369132229293,137.8946570490777,417.2580199249866,0.0,0.0,80861100,90682500
2021-10-06,0.0,140.37596130371094,421.7774658203125,0.0,0.0,140.52423973616644,421.99082879719873,136.78747239552806,414.6395582240307,137.8748978477883,416.3173388362826,0.0,0.0,83221100,113032200
2021-10-07,0.0,141.6511993408203,425.4239807128906,0.0,0.0,142.57057086361257,428.3528452940689,141.0877262201144,424.9778689309193,141.42383405241446,425.162138283706,0.0,0.0,61732700,72437500
2021-10-08,0.0,141.26568603515625,424.6481018066406,0.0,0.0,142.53104582105323,426.6168774800735,140.92957814171328,423.9983348022127,142.3827673634397,426.2192451714059,0.0,0.0,58773200,74557400
2021-10-11,0.0,141.1767120361328,421.57379150390625,0.0,0.0,143.15383849015728,426.9757310313559,140.18814880912058,421.5058965605255,140.6428945306284,423.9692636191672,0.0,0.0,64452200,65233300
2021-10-12,0.0,139.89157104492188,420.5361022949219,0.0,0.0,141.6116764192017,422.9412823271692,139.42694514067867,419.7214517025684,141.59190093188064,422.52426409478915,0.0,0.0,73035900,71181200
2021-10-13,0.0,139.29843139648438,422.0489807128906,0.0,0.0,139.78281766626054,422.8927248155928,137.60798184195636,418.51882855034665,139.6246590327714,421.5931611911523,0.0,0.0,78762700,72974000
2021-10-14,0.0,142.11581420898438,429.14813232421875,0.0,0.0,142.23445202859438,429.30330808186676,139.891547415798,425.3464002537146,140.48469126102418,425.83131339758376,0.0,0.0,69907100,70236800
2021-10-15,0.0,143.18350219726562,432.41644287109375,0.0,0.0,143.24281358072284,432.7946893303574,141.8687112216091,430.6901532600242,142.12574732896184,431.3302421625668,0.0,0.0,67940300,66260200
2021-10-18,0.0,144.87393188476562,433.69659423828125,0.0,0.0,145.16060855967095,434.04571747470413,141.5227034273232,429.8948623934386,141.80938010222852,430.573752593258,0.0,0.0,85589200,62213200
2021-10-19,0.0,147.05865478515625,437.0425109863281,0.0,0.0,147.46396931347874,437.11037632959744,144.87393858139527,434.7439979363319,145.32866920181988,435.37440866971053,0.0,0.0,76378900,46996800
2021-10-20,0.0,147.55294799804688,438.759033203125,0.0,0.0,148.03734942986043,439.06938466099643,146.42598647554127,437.40128257086775,146.99935498127618,437.5176569683835,0.0,0.0,58418800,49571600
2021-10-21,0.0,147.77041625976562,439.9034729003906,0.0,0.0,147.9285899848712,440.136221722931,146.17882897604792,437.6922702960144,147.1080807556973,438.13838207146597,0.0,0.0,61421000,41305400
2021-10-22,0.0,146.98947143554688,439.4476623535156,0.0,0.0,148.46242101789161,440.9509107877384,146.9400402563999,437.4401149279218,147.9780346813742,439.4573700869019,0.0,0.0,58883400,58845100
2021-10-25,0.0,146.94000244140625,441.80438232421875,0.0,0.0,147.66164920154662,442.14382746639205,145.93166396656034,438.7397571004437,146.97953832398244,440.5727135133772,0.0,0.0,50720600,45214500
2021-10-26,0.0,147.61224365234375,442.20196533203125,0.0,0.0,149.11484864584503,444.65562454217917,147.30577643234489,441.814040754303,147.62212385262424,443.40456999876153,0.0,0.0,60893400,56075100
2021-10-27,0.0,147.1476287841797,440.2429504394531,0.0,0.0,148.01755408629677,443.36579229123276,146.79174545195295,440.16534776172267,147.65179055305242,442.6772239093115,0.0,0.0,56094900,72438000
2021-10-28,0.0,150.82508850097656,444.49078369140625,0.0,0.0,151.4182173461719,444.5683567705278,148.0076774623993,441.7073870287187,148.1065398120702,441.71706516564075,0.0,0.0,100077900,51437900
2021-10-29,0.0,148.0867462158203,445.3927001953125,0.0,0.0,148.22514443786892,445.6933439616185,144.7355181179597,441.8140390061884,145.53625176583196,442.1146827724944,0.0,0.0,124953200,70162400
2021-11-01,0.0,147.25637817382812,446.15887451171875,0.0,0.0,147.98790527430268,446.7989633857097,146.10964126290196,444.37439777062934,147.2860338625351,446.4110092098983,0.0,0.0,74588300,48433600
2021-11-02,0.0,148.30422973632812,447.9627990722656,0.0,0.0,149.8365054471221,448.28285835189666,146.9498881301849,446.19770795717073,146.95978341440417,446.333497856833,0.0,0.0,69122000,48908400
2021-11-03,0.0,149.75741577148438,450.6977233886719,0.0,0.0,150.2319217925489,451.1147416352276,148.10651735537965,446.9250845063469,148.6699904270923,447.3809040957865,0.0,0.0,54511500,52509800
2021-11-04,0.0,149.23348999023438,452.8215637207031,0.0,0.0,150.68666384805547,452.9088445288527,148.917142562494,450.95948435660233,149.84639427613686,451.31831532235543,0.0,0.0,60394600,52847100
2021-11-05,0.0,149.76808166503906,454.3927307128906,0.22,0.0,150.67888522142528,456.44875780380613,148.56027333658793,452.83132452287026,150.37198582926462,455.12010046279477,0.0,0.0,65463900,66390600
2021-11-08,0.0,148.93649291992188,454.7806396484375,0.0,0.0,150.05520444276985,456.0414315961898,148.65929247101482,454.0726853915245,149.89679987016825,455.52742484118113,0.0,0.0,55020900,50405200
2021-11-09,0.0,149.30279541015625,453.27740478515625,0.0,0.0,149.91659426722987,455.4013266747174,148.56029094513156,451.8226653866486,148.69889117435116,455.1588701082994,0.0,0.0,56787900,51149100
2021-11-10,0.0,146.44166564941406,449.630859375,0.0,0.0,148.62958525650777,453.2774156926347,146.37237309417714,448.09854686093513,148.52068400717204,451.53171061436825,0.0,0.0,65187100,69429700
2021-11-11,0.0,146.3921661376953,449.7763366699219,0.0,0.0,147.9365729092724,451.2504916015214,146.20406260156636,449.75695079857195,147.47128403870482,451.1728889226213,0.0,0.0,41000000,34848500
